no,product_name,pesticide_type,formulation,ingredient_name,ingredient_concentration,ingredient_unit,nama_komoditas,target_pest,dose_value,dose_unit,registered_at,expired_at
401,GENIUS 20/125 OD,Insektisida,OD,Nitenpiram,125,g/l,padi,wereng batang cokelat,2,ml/l,2023-04-26,2028-04-26
402,GOLDCHECK 30/40 WG,Insektisida,WG,Nitenpyram,30,%,padi,wereng batang cokelat,"1,5",g/l,2024-08-09,2029-08-09
403,GOLDCHECK 30/40 WG,Insektisida,WG,pymetrozine,40,%,padi,wereng batang cokelat,"1,5",g/l,2024-08-09,2029-08-09
404,HANTER 20/60 WG,Insektisida,WG,nitenpiram,20,%,padi,wereng batang cokelat,1.5,g/l,2022-06-27,2027-06-27
405,HANTER 20/60 WG,Insektisida,WG,pimetrozin,60,%,padi,wereng batang cokelat,1.5,g/l,2022-06-27,2027-06-27
406,HICARB 500 EC,Insektisida,EC,Fenobukarb,500,g/l,padi,wereng batang cokelat,2,ml/l,2025-07-11,2030-07-11
407,HIPPO 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,wereng batang cokelat,2,ml/l,2022-10-04,2027-10-04
408,HIPPO 48 WP,Insektisida,WP,Dimehypo,45,%,padi,wereng batang cokelat,2,g/l,2023-04-26,2028-04-26
409,HIPPO 48 WP,Insektisida,WP,Imidacloprid,3,%,padi,wereng batang cokelat,2,g/l,2023-04-26,2028-04-26
410,HOKITAN 500 SL,Insektisida,SL,Dimehipo,500,g/l,padi,wereng batang cokelat,"2,5",ml/l,2024-03-05,2029-03-05
411,HOPPER 500 EC,Insektisida,EC,BPMC,500,g/l,padi,wereng batang cokelat,1,ml/l,2023-04-26,2028-04-26
412,HYPOMAX 550 SL,Insektisida,SL,Dimehipo,550,g/l,padi,wereng batang cokelat,1,ml/l,2025-02-17,2030-02-17
413,IMIDAPRO 30 WP,Insektisida,WP,Imidakloprid,30,%,padi,wereng batang cokelat,2,g/l,2024-03-05,2029-03-05
414,IMIDOR 50 SL,Insektisida,SL,Imidakloprid,50,g/l,padi,wereng batang cokelat,1,ml/l,2025-11-13,2030-11-13
415,INDOBAS 500 EC,Insektisida,EC,BPMC,500,g/l,padi,wereng batang cokelat,2,ml/l,2025-09-26,2030-09-26
416,INDODINE 6 GR,Insektisida,GR,dimehipo,6,%,padi,wereng batang cokelat,12,kg/ha,2022-10-04,2027-10-04
417,INDOMEC 20 EC,Insektisida,EC,abamektin,20,g/l,padi,wereng batang cokelat,2,ml/l,2024-03-05,2029-03-05
418,INTERPRID 25 WP,Insektisida,WP,Imidakloprid,25,%,padi,wereng batang cokelat,1.5,g/l,2023-04-26,2028-04-26
419,JAMBO 200 ME,Insektisida,ME,abamektin,2,g/l,padi,wereng batang cokelat,1,ml/l,2023-04-26,2028-04-26
420,JAMBO 200 ME,Insektisida,ME,Monosultap,198,g/l,padi,wereng batang cokelat,1,ml/l,2023-04-26,2028-04-26
421,JIBRO 50 SC,Insektisida,SC,fipronil,50,g/l,padi,wereng batang cokelat,1,ml/l,2025-07-11,2030-07-11
422,K-KINGFIELD 60/20 WG,Insektisida,WG,Nitenpiram,20,%,padi,wereng batang cokelat,0.5,g/l,2023-04-26,2028-04-26
423,K-KINGFIELD 60/20 WG,Insektisida,WG,Pimetrozin,60,%,padi,wereng batang cokelat,0.5,g/l,2023-04-26,2028-04-26
424,K-METCARB 20/5 WP,Insektisida,WP,Buprofezin,5,%,padi,wereng batang cokelat,2,g/l,2025-09-26,2030-09-26
425,K-METCARB 20/5 WP,Insektisida,WP,Metolkarb,20,%,padi,wereng batang cokelat,2,g/l,2025-09-26,2030-09-26
426,KARIBIAN 18 EC,Insektisida,EC,abamektin,18,g/l,padi,wereng batang cokelat,2,ml/l,2023-04-26,2028-04-26
427,KAYAN 128 SL,Insektisida,SL,nitenpiram,128,g/l,padi,wereng batang cokelat,2,ml/l,2023-04-26,2028-04-26
428,KENTARA 200 EC,Insektisida,EC,Karbosulfan,200,g/l,padi,wereng batang cokelat,1,ml/l,2024-08-09,2029-08-09
429,KICKOFF 36 EC,Insektisida,EC,Abamektin,36,g/l,padi,wereng batang cokelat,2,ml/l,2025-02-17,2030-02-17
430,KLENGER 150 SL,Insektisida,SL,Nitenpiram,150,g/l,padi,wereng batang cokelat,2,ml/l,2023-04-26,2028-04-26
431,KLOPER 500 SL,Insektisida,SL,Dimehipo,500,g/l,padi,wereng batang cokelat,"0,5",ml/l,2023-08-28,2028-08-28
432,KLOPINDO 10 WP,Insektisida,WP,imidakloprid,10,%,padi,wereng batang cokelat,"0,4",g/l,2024-08-09,2029-08-09
433,KONSULTAN 200 SC,Insektisida,SC,Klotianidin,200,g/l,padi,wereng batang cokelat,2,ml/l,2025-11-13,2030-11-13
434,KRESNADAN 3 GR,Insektisida,GR,Karbofuran,3,%,padi,wereng batang cokelat,15,kg/ha,2025-11-13,2030-11-13
435,KURATERBANG 3.3 GR,Insektisida,GR,Karbofuran,3.3,%,padi,wereng batang cokelat,17,kg/ha,2023-02-08,2028-02-08
436,LORENTZ 61 EC,Insektisida,EC,Abamektin,36,g/l,padi,wereng batang cokelat,1,ml/l,2023-04-26,2028-04-26
437,LORENTZ 61 EC,Insektisida,EC,Imidakloprid,25,g/l,padi,wereng batang cokelat,1,ml/l,2023-04-26,2028-04-26
438,LUGEN 100 EC,Insektisida,EC,buprofezin,100,g/l,padi,wereng batang cokelat,"0,25",l/ha,2023-04-26,2028-04-26
439,MADRID 50/10 WP,Insektisida,WP,Buprofezin,10,%,padi,wereng batang cokelat,2,g/l,2023-04-26,2028-04-26
440,MADRID 50/10 WP,Insektisida,WP,Dimehipo,50,%,padi,wereng batang cokelat,2,g/l,2023-04-26,2028-04-26
441,MATRIX 200 EC,Insektisida,EC,karbosulfan,200,g/l,padi,wereng batang cokelat,"0,5",ml/l,2024-03-04,2029-03-04
442,MATRIX WIN 200/100 EC,Insektisida,EC,Imidakloprid,100,g/l,padi,wereng batang cokelat,"0,5",ml/l,2024-03-04,2029-03-04
443,MATRIX WIN 200/100 EC,Insektisida,EC,Karbosulfan,200,g/l,padi,wereng batang cokelat,"0,5",ml/l,2024-03-04,2029-03-04
444,MILENIUM 60 WG,Insektisida,WG,Pimetrozin,60,%,padi,wereng batang cokelat,2,g/l,2023-02-08,2028-02-08
445,MITRIN 320/32 SC,Insektisida,SC,Abamektin,32,g/l,padi,wereng batang cokelat,2,ml/l,2023-04-26,2028-04-26
446,MITRIN 320/32 SC,Insektisida,SC,Imidakloprid,320,g/l,padi,wereng batang cokelat,2,ml/l,2023-04-26,2028-04-26
447,MONTAF 400 SL,Insektisida,SL,dimehipo (bisultap),400,g/l,padi,wereng batang cokelat,1,ml/l,2024-03-04,2029-03-04
448,NEOFRON 60 SC,Insektisida,SC,Fipronil,60,g/l,padi,wereng batang cokelat,"0,5",ml/l,2023-08-28,2028-08-28
449,NETOXIN 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,wereng batang cokelat,1,ml/l,2023-04-26,2028-04-26
450,NIGO 60 WP,Insektisida,WP,Nitenpiram,60,%,padi,wereng batang cokelat,"1,5",g/l,2025-09-26,2030-09-26
451,NIZIN 60/10 WG,Insektisida,WG,buprofezin,60,%,padi,wereng batang cokelat,1,g/l,2022-06-27,2027-06-27
452,NIZIN 60/10 WG,Insektisida,WG,nitenpiram,10,%,padi,wereng batang cokelat,1,g/l,2022-06-27,2027-06-27
453,OBR 25 WP,Insektisida,WP,Imidakloprid,25,%,padi,wereng batang cokelat,1,g/l,2025-09-26,2030-09-26
454,ORIZ 50 WG,Insektisida,WG,pymetrozine,50,%,padi,wereng batang cokelat,"0,6",g/l,2025-07-11,2030-07-11
455,PANDAWA 50/10 WP,Insektisida,WP,Bisultap,50,%,padi,wereng batang cokelat,3,g/l,2024-09-19,2029-09-19
456,PANDAWA 50/10 WP,Insektisida,WP,Tiametoksam,10,%,padi,wereng batang cokelat,3,g/l,2024-09-19,2029-09-19
457,PANINDO 10 WP,Insektisida,WP,Imidakloprid,10,%,padi,wereng batang cokelat,0.4,g/l,2023-04-26,2028-04-26
458,PANZER 290 SL,Insektisida,SL,Bisultap,290,g/l,padi,wereng batang cokelat,"0,75",l/ha,2023-02-08,2028-02-08
459,PARASOL 500 SL,Insektisida,SL,Dimehipo,500,g/l,padi,wereng batang cokelat,1,ml/l,2023-04-26,2028-04-26
460,PERFEKTHION 400 SL,Insektisida,SL,monosultap,400,g/l,padi,wereng batang cokelat,"1,5",ml/l,2023-04-26,2028-04-26
461,PILARCHESS 60 WG,Insektisida,WG,Pimetrozin,60,%,padi,wereng batang cokelat,"0,84",g/l,2023-02-08,2028-02-08
462,PILARTA 110/110 SC,Insektisida,SC,Klotianidin,110,g/l,padi,wereng batang cokelat,2,ml/l,2022-10-04,2027-10-04
463,PILARTA 110/110 SC,Insektisida,SC,Pimetrozin,110,g/l,padi,wereng batang cokelat,2,ml/l,2022-10-04,2027-10-04
464,PINKO PLUS 60 SC,Insektisida,SC,Fipronil,60,g/l,padi,wereng batang cokelat,1,ml/l,2026-04-20,2031-04-20
465,PIRAM 150 SL,Insektisida,SL,Nitenpiram,150,g/l,padi,wereng batang cokelat,2,ml/l,2023-04-26,2028-04-26
466,POKSINDO 200 EC,Insektisida,EC,propoksur,200,g/l,padi,wereng batang cokelat,2,ml/l,2024-03-04,2029-03-04
467,PRIMADINE 450 SL,Insektisida,SL,dimehipo,450,g/l,padi,wereng batang cokelat,"2,25",ml/l,2022-06-27,2027-06-27
468,PROMOCYODAN 3 GR,Insektisida,GR,karbofuran,3,%,padi,wereng batang cokelat,17,kg/ha,2023-02-08,2028-02-08
469,PROMODAN 3 GR,Insektisida,GR,karbofuran,3,%,padi,wereng batang cokelat,17,kg/ha,2022-12-05,2027-12-05
470,PRONITE 60/20 WG,Insektisida,WG,Nitenpiram,20,%,padi,wereng batang cokelat,"0,5",g/l,2022-12-05,2027-12-05
471,PRONITE 60/20 WG,Insektisida,WG,Pimetrozin,60,%,padi,wereng batang cokelat,"0,5",g/l,2022-12-05,2027-12-05
472,PYTROSAN 50/20 WG,Insektisida,WG,Pimetrozin,50,%,padi,wereng batang cokelat,1,g/l,2022-06-27,2027-06-27
473,PYTROSAN 50/20 WG,Insektisida,WG,Tiametoksam,20,%,padi,wereng batang cokelat,1,g/l,2022-06-27,2027-06-27
474,QAISHAR 10 WP,Insektisida,WP,Nitenpiram,10,%,padi,wereng batang cokelat,"1,5",g/l,2026-01-20,2031-01-20
475,RADIGEN 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,wereng batang cokelat,1,ml/l,2023-08-28,2028-08-28
476,RAGE 90 SP,Insektisida,SP,Monosultap,90,%,padi,wereng batang cokelat,"0,6",g/l,2022-12-05,2027-12-05
477,RAHWANA 500 EC,Insektisida,EC,BPMC,500,g/l,padi,wereng batang cokelat,2,ml/l,2022-12-05,2027-12-05
478,RAMPAGE 200/50 SC,Insektisida,SC,Emamektin benzoat,50,g/l,padi,wereng batang cokelat,1,ml/l,2026-04-20,2031-04-20
479,RAMPAGE 200/50 SC,Insektisida,SC,Klorantraniliprol,200,g/l,padi,wereng batang cokelat,1,ml/l,2026-04-20,2031-04-20
480,REGGI 60 EC,Insektisida,EC,Fipronil,60,g/l,padi,wereng batang cokelat,1,ml/l,2025-07-11,2030-07-11
481,REMIFA 25 SP,Insektisida,SP,nitenpiram,25,%,padi,wereng batang cokelat,1,g/l,2025-07-11,2030-07-11
482,RENEGADE 500 SC,Insektisida,SC,Klorfenapir,500,g/l,padi,wereng batang cokelat,2,ml/l,2025-02-17,2030-02-17
483,RESPECT 200 EC,Insektisida,EC,karbosulfan,200,g/l,padi,wereng batang cokelat,"1,5 - 2",ml/l,2023-04-26,2028-04-26
484,REXDAN 3 GR,Insektisida,GR,Carbofuran,3,%,padi,wereng batang cokelat,20,kg/ha,2024-03-04,2029-03-04
485,RG 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,wereng batang cokelat,"1,5",ml/l,2024-11-18,2029-11-18
486,RHANUM 50 WG,Insektisida,WG,Pimetrozin,50,%,padi,wereng batang cokelat,0.6,g/l,2022-01-14,2027-01-14
487,Rockrole 100/200 SC,Insektisida,SC,Klorantraniliprol,100,g/l,padi,wereng batang cokelat,"0,4",ml/l,2025-07-11,2030-07-11
488,Rockrole 100/200 SC,Insektisida,SC,Tiametoksam,200,g/l,padi,wereng batang cokelat,"0,4",ml/l,2025-07-11,2030-07-11
489,SAMIDA 15 WP,Insektisida,WP,Imidakloprid,15,%,padi,wereng batang cokelat,1,kg/ha,2023-04-26,2028-04-26
490,SAPPORO 52 EC,Insektisida,EC,Emammektin Benzoat,52,g/l,padi,wereng batang cokelat,2,ml/l,2025-02-17,2030-02-17
491,SAWARNA 18 EC,Insektisida,EC,abamektin,18,g/l,padi,wereng batang cokelat,2,ml/l,2023-04-26,2028-04-26
492,SENSATION 100/200 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,wereng batang cokelat,1,ml/l,2026-01-20,2031-01-20
493,SENSATION 100/200 SC,Insektisida,SC,Thiamethoxam,200,g/l,padi,wereng batang cokelat,1,ml/l,2026-01-20,2031-01-20
494,SHIVER 25 WP,Insektisida,WP,imidakloprid,25,%,padi,wereng batang cokelat,"0,8",g/l,2024-08-09,2029-08-09
495,SIDATAN 410 SL,Insektisida,SL,Dimehipo,410,g/l,padi,wereng batang cokelat,1,ml/l,2022-01-14,2027-01-14
496,"SIKLON 5,7 WG",Insektisida,WG,emamectin benzoate,"5,7",%,padi,wereng batang cokelat,1,g/l,2023-02-08,2028-02-08
497,SINGAMAN 110 SL,Insektisida,SL,Nitenpiram,110,g/l,padi,wereng batang cokelat,"0,5",ml/l,2024-11-18,2029-11-18
498,SINOTICTURE 50 WG,Insektisida,WG,flonicamid,50,%,padi,wereng batang cokelat,1,g/l,2025-02-17,2030-02-17
499,SitoPro 100 SC,Insektisida,SC,Klorantraniliprol,100,g/l,padi,wereng batang cokelat,2,ml/l,2026-04-20,2031-04-20
500,SNATCH 50/10 WG,Insektisida,WG,Nitenpiram,10,%,padi,wereng batang cokelat,2,g/l,2022-12-05,2027-12-05
501,SNATCH 50/10 WG,Insektisida,WG,Pimetrozin,50,%,padi,wereng batang cokelat,2,g/l,2022-12-05,2027-12-05
502,SONIC 450 SL,Insektisida,SL,Dimehipo,450,g/l,padi,wereng batang cokelat,1,ml/l,2022-06-27,2027-06-27
503,SPARTAN 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,wereng batang cokelat,"0,75",ml/l,2024-11-18,2029-11-18
504,STARAS 100/35/20 EC,Insektisida,EC,Abamektin,100,g/l,padi,wereng batang cokelat,2,ml/l,2022-06-27,2027-06-27
505,STARAS 100/35/20 EC,Insektisida,EC,Fipronil,35,g/l,padi,wereng batang cokelat,2,ml/l,2022-06-27,2027-06-27
506,STARAS 100/35/20 EC,Insektisida,EC,Heksaflumuron,20,g/l,padi,wereng batang cokelat,2,ml/l,2022-06-27,2027-06-27
507,STARGATE 600 SC,Insektisida,SC,Klotianidin,600,g/l,padi,wereng batang cokelat,300,ml/ha,2024-09-19,2029-09-19
508,STARLET 400 SL,Insektisida,SL,Bisultap,400,g/l,padi,wereng batang cokelat,2,ml/l,2022-12-05,2027-12-05
509,SUICA 50/20 WG,Insektisida,WG,Pimetrozin,50,%,padi,wereng batang cokelat,1,g/l,2022-06-27,2027-06-27
510,SUICA 50/20 WG,Insektisida,WG,Tiametoksam,20,%,padi,wereng batang cokelat,1,g/l,2022-06-27,2027-06-27
511,SULFARON 200/50 EC,Insektisida,EC,Karbosulfan,200,g/l,padi,wereng batang cokelat,2,ml/l,2022-06-27,2027-06-27
512,SULFARON 200/50 EC,Insektisida,EC,Klorfluazuron,50,g/l,padi,wereng batang cokelat,2,ml/l,2022-06-27,2027-06-27
513,SUPEMEC 18 EC,Insektisida,EC,abamektin,18,g/l,padi,wereng batang cokelat,2,ml/l,2024-03-05,2029-03-05
514,SUPORTAN 500 SL,Insektisida,SL,Dimehipo,500,g/l,padi,wereng batang cokelat,2,ml/l,2026-01-20,2031-01-20
515,SUPORTAN 500 SL,Insektisida,SL,Monosultap,500,g/l,padi,wereng batang cokelat,2,ml/l,2023-04-26,2028-04-26
516,TAKEOVER 505 SL,Insektisida,SL,Dimehipo,505,g/l,padi,wereng batang cokelat,"1,5",ml/l,2022-12-05,2027-12-05
517,TANITERR 3 GR,Insektisida,GR,Karbofuran,3,%,padi,wereng batang cokelat,"18,75",kg/ha,2025-02-17,2030-02-17
518,TARUNA 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,wereng batang cokelat,2,ml/l,2022-10-04,2027-10-04
519,TIDAL 5 WP,Insektisida,WP,Imidakloprid,5,%,padi,wereng batang cokelat,"0,8",g/l,2023-04-26,2028-04-26
520,TIMBER 50/15 WP,Insektisida,WP,Buprofezin,15,%,padi,wereng batang cokelat,"0,75",g/l,2025-02-17,2030-02-17
521,TIMBER 50/15 WP,Insektisida,WP,Monosultap,50,%,padi,wereng batang cokelat,"0,75",g/l,2025-02-17,2030-02-17
522,TOPNIL 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,wereng batang cokelat,1,ml/l,2024-03-05,2029-03-05
523,TRIACTIVE 500 SL,Insektisida,SL,Dimehipo,500,g/l,padi,wereng batang cokelat,"1,5",ml/l,2025-02-17,2030-02-17
524,TRILAMAZOR 75 WP,Insektisida,WP,Siromazin,75,%,padi,wereng batang cokelat,"0,75",g/l,2025-02-17,2030-02-17
525,TRIPON 30/5 WP,Insektisida,WP,Fipronil,5,%,padi,wereng batang cokelat,1,g/l,2023-04-26,2028-04-26
526,TRIPON 30/5 WP,Insektisida,WP,Imidakloprid,30,%,padi,wereng batang cokelat,1,g/l,2023-04-26,2028-04-26
527,TRUPER 3 GR,Insektisida,GR,karbofuran,3,%,padi,wereng batang cokelat,17,kg/ha,2026-01-20,2031-01-20
528,ULTIMARAC 360 SC,Insektisida,SC,Klorfenapir (Chlorfenapyr),360,g/l,padi,wereng batang cokelat,"1,5",ml/l,2025-07-11,2030-07-11
529,UNIBEST 200 SL,Insektisida,SL,imidakloprid,200,g/l,padi,wereng batang cokelat,0.5,ml/l,2026-01-20,2031-01-20
530,VENTURA 5 GR,Insektisida,GR,karbofuran,5,%,padi,wereng batang cokelat,"7,5",kg/ha,2023-04-26,2028-04-26
531,VESTORIA 20 WG,Insektisida,WG,Triflumezopyrim,20,%,padi,wereng batang cokelat,"0,45",g/l,2025-11-13,2030-11-13
532,VOLCANO 50 WG,Insektisida,WG,Pimetrozin,50,%,padi,wereng batang cokelat,2,g/l,2023-04-26,2028-04-26
533,WINGREAT 400 EC,Insektisida,EC,BPMC,300,g/l,padi,wereng batang cokelat,"1,5",ml/l,2023-08-28,2028-08-28
534,WINGREAT 400 EC,Insektisida,EC,Imidakloprid,100,g/l,padi,wereng batang cokelat,"1,5",ml/l,2023-08-28,2028-08-28
535,WORTHIDE XTRA 30/30 WG,Insektisida,WG,Dinotefuran,30,%,padi,wereng batang cokelat,"1,5",g/l,2023-02-08,2028-02-08
536,WORTHIDE XTRA 30/30 WG,Insektisida,WG,Pimetrozin,30,%,padi,wereng batang cokelat,"1,5",g/l,2023-02-08,2028-02-08
537,XENON 20/60 WG,Insektisida,WG,Nitempiram,20,%,padi,wereng batang cokelat,"0,75",g/l,2024-08-09,2029-08-09
538,XENON 20/60 WG,Insektisida,WG,Pimetrozin,60,%,padi,wereng batang cokelat,"0,75",g/l,2024-08-09,2029-08-09
539,ZIBAZ 400 EC,Insektisida,EC,BPMC,400,g/l,padi,wereng batang cokelat,"0,5",ml/l,2022-10-04,2027-10-04
540,ZIOFY 50 WG,Insektisida,WG,Pimetrozin,50,%,padi,wereng batang cokelat,"0,5",g/l,2022-06-27,2027-06-27
541,ENTOMOBAC WP,Insektisida,WP,Beauveria bassiana,1 x 10^6,cfu/g,padi,wereng batang cokelat,2,g/l,2023-04-26,2028-04-26
542,ENTOMOBAC WP,Insektisida,WP,Metarhizium anisopliae,1 x 10^6,cfu/g,padi,wereng batang cokelat,2,g/l,2023-04-26,2028-04-26
543,DETOP 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,wereng batang cokelat,3,ml/l,2026-01-20,2031-01-20
